id,name,current_url,bucket
1,ASUS ZenBook X14,https://imgur.com/a/zzQzLzI,imgur_album
2,HP Envy 15,https://imgur.com/a/oSYa3sC,imgur_album
3,Dell XPS 13,https://imgur.com/a/oBB00Ut,imgur_album
4,Acer Predator Helios 16,https://imgur.com/a/tscfMXP,imgur_album
5,Lenovo Yoga 9i,https://imgur.com/a/IoW6ZkU,imgur_album
6,Razer Blade 15 OLED,https://imgur.com/a/OO5rFHY,imgur_album
7,Surface Laptop 5,https://imgur.com/a/gzcu9Kl,imgur_album
8,ASUS TUF A16,https://imgur.com/a/BcSMdoD,imgur_album
9,Samsung Galaxy Book4,https://imgur.com/a/EdVJgU7,imgur_album
10,MSI Stealth 14,https://imgur.com/a/uoVSwWF,imgur_album
11,Lenovo Legion Pro 5,https://imgur.com/a/9X4aw32,imgur_album
12,HP Victus 16,https://imgur.com/a/EzJvkQ0,imgur_album
13,ASUS ROG Zephyrus G14,https://imgur.com/a/xZPVGNS,imgur_album
14,Dell Inspiron 14 Plus,https://imgur.com/a/3mvkWbF,imgur_album
15,Acer Swift Go 14,https://imgur.com/a/ZqlhOiU,imgur_album
16,Gigabyte Aero 16 Creator,https://imgur.com/a/YLIM9Mz,imgur_album
17,Framework Laptop 13,https://imgur.com/a/hC2pnCM,imgur_album
18,Apple MacBook Air 13 M3,https://imgur.com/a/Rdfn5Hg,imgur_album
19,Apple MacBook Pro 14 M3,https://imgur.com/a/IBtvB5Q,imgur_album
20,Apple MacBook Pro 16 M3 Pro,https://imgur.com/a/VqWoolv,imgur_album
21,Samsung Galaxy S24 Ultra,https://imgur.com/a/PBpeMj6,imgur_album
22,Google Pixel 8 Pro,https://imgur.com/a/rKbxnIg,imgur_album
23,OnePlus 12,https://imgur.com/a/qtc9R0r,imgur_album
24,Nothing Phone (2),https://imgur.com/a/qmUkSpG,imgur_album
25,Sony Xperia 1 V,https://imgur.com/a/9iiJ2n3,imgur_album
26,Motorola Edge+,https://imgur.com/a/EwiIvqT,imgur_album
27,ASUS ROG Phone 8,https://imgur.com/a/Sm98Rb8,imgur_album
28,Samsung Galaxy S24,https://imgur.com/a/YgpWCoQ,imgur_album
29,Google Pixel 8,https://imgur.com/a/VLL9wfo,imgur_album
30,OnePlus 12R,https://imgur.com/a/dKqgiNQ,imgur_album
31,Samsung Galaxy A55,https://imgur.com/a/TXCODv7,imgur_album
32,Sony Xperia 10 V,https://imgur.com/a/4Qu2vV1,imgur_album
33,Motorola Moto G Power,https://imgur.com/a/NaTsdJk,imgur_album
34,Nothing Phone (2a),https://imgur.com/a/XAo4sxx,imgur_album
35,Samsung Galaxy Z Flip5,https://imgur.com/a/cF8cgBx,imgur_album
36,Samsung Galaxy Z Fold5,https://imgur.com/a/e6HdCb1,imgur_album
37,OnePlus Nord N30,https://imgur.com/a/jswOpW7,imgur_album
38,Apple iPhone 15 Pro,https://imgur.com/a/CPTF3IO,imgur_album
39,Apple iPhone 15,https://imgur.com/a/aGkCX2a,imgur_album
40,Apple iPhone SE (3rd Gen),https://imgur.com/a/bKEfcxY,imgur_album
41,Sony PlayStation 5,https://imgur.com/a/I1m93tt,imgur_album
42,Sony PlayStation 5 Digital,https://imgur.com/a/zsbiZtI,imgur_album
43,Sony PlayStation 5 Pro,https://imgur.com/a/zFsjzP6,imgur_album
44,Microsoft Xbox Series X,https://imgur.com/a/lK7CF25,imgur_album
45,Microsoft Xbox Series S,https://imgur.com/a/9QJtH2f,imgur_album
46,Microsoft Xbox Series X 2TB,https://imgur.com/a/xmZICsq,imgur_album
47,Nintendo Switch OLED,https://imgur.com/a/ArUyzrM,imgur_album
48,Nintendo Switch Lite,https://imgur.com/a/keRVEc8,imgur_album
49,Nintendo Switch 2 (rumored),https://imgur.com/a/bJJAyRx,imgur_album
50,Valve Steam Deck 512GB,https://imgur.com/a/RH64iso,imgur_album
51,Valve Steam Deck OLED 1TB,https://imgur.com/a/urvDWsY,imgur_album
52,ASUS ROG Ally X,https://imgur.com/a/KcDzDCV,imgur_album
53,Lenovo Legion Go,https://imgur.com/a/GpxRhwn,imgur_album
54,AYANEO Air 1S,https://imgur.com/a/rIuAisF,imgur_album
55,Logitech G Cloud,https://imgur.com/a/3U1RUrC,imgur_album
56,Retroid Pocket 3+,https://imgur.com/a/MMLhJL4,imgur_album
57,Analogue Pocket,https://imgur.com/a/avGE1F3,imgur_album
58,Nintendo 3DS XL (refurb),https://imgur.com/a/Q9Rn9SV,imgur_album
59,Playdate,https://imgur.com/a/3lOAS9Z,imgur_album
60,Panic Playdate Season 1 Bundle,https://imgur.com/a/WygNNDf,imgur_album
61,Optimum Nutrition Gold Standard Whey,https://imgur.com/a/CxReMWq,imgur_album
62,MuscleTech NitroTech,https://imgur.com/a/MlaJWs4,imgur_album
63,Dymatize ISO100,https://imgur.com/a/CMbyjSO,imgur_album
64,Ghost Whey Protein,https://imgur.com/a/4nLtTIe,imgur_album
65,Gold Standard Casein,https://imgur.com/a/aKXB641,imgur_album
66,Vega Plant Protein,https://imgur.com/a/h0nxut6,imgur_album
67,Orgain Organic Protein,https://imgur.com/a/d22bqTk,imgur_album
68,Isopure Zero Carb,https://imgur.com/a/trIK2gD,imgur_album
69,Legion Whey+,https://imgur.com/a/cfy2FIh,imgur_album
70,MyProtein Impact Whey,https://imgur.com/a/6lmAZ6p,imgur_album
71,Rule 1 R1 Whey Blend,https://imgur.com/a/ltb2Krr,imgur_album
72,Kaged Micropure Whey Isolate,https://imgur.com/a/EaCfq3j,imgur_album
73,Garden of Life Sport Plant Protein,https://imgur.com/a/jbHtgzl,imgur_album
74,Transparent Labs Whey Isolate,https://imgur.com/a/mt2H1Yx,imgur_album
75,PEScience Select Protein,https://imgur.com/a/876y49P,imgur_album
76,MusclePharm Combat Protein,https://imgur.com/a/GLLXonN,imgur_album
77,GNC AMP Wheybolic,https://imgur.com/a/sYhtXRP,imgur_album
78,Fairlife Core Power,https://imgur.com/a/BYIP3Aj,imgur_album
79,Premier Protein Shake,https://imgur.com/a/bqBWwMh,imgur_album
80,Optimum Nutrition Serious Mass,https://imgur.com/a/SD6fwud,imgur_album
